code,main_code,name,action_id,action_type,win
1000,0,Pass,1,0,0
1010,1000,Attacking pass,1,1,0
1011,1010,Attacking pass accurate,1,1,1
1012,1010,Attacking pass inaccurate,1,1,2
1020,1000,Non attacking pass,1,2,0
1021,1020,Non attacking pass accurate,1,2,1
1022,1020,Non attacking pass inaccurate,1,2,2
1030,1000,Key pass,1,3,0
1031,1030,Accurate key pass,1,3,1
1032,1030,Inaccurate key pass,1,3,2
1040,1000,Assist,1,4,0
1050,1000,Key assist,1,5,0
1060,1000,Extra attacking pass,1,6,0
1061,1060,Extra attacking pass accurate,1,6,1
1062,1060,Inaccurate extra attacking pass,1,6,2
1070,1000,Extra attacking pass Assist,1,7,0
2000,0,Challenges,2,0,0
2010,2000,Challenge,2,1,0
2012,2010,Lost challenge,2,1,2
2020,2000,Air challenge,2,2,0
2021,2020,Air challenges / won,2,2,1
2022,2020,Air challenge lost,2,2,2
2030,2000,Tackle,2,3,0
2031,2030,Tackles successful,2,3,1
2032,2030,Tackles unsuccessful,2,3,2
2040,2000,Loss of a ball,2,4,0
2050,2000,Dribble,2,5,0
2051,2050,Successfull dribbling,2,5,1
2052,2050,Unsuccessfull dribbling,2,5,2
2060,2000,Ball recoveries,2,6,0
3000,0,Discipline,3,0,0
3010,3000,Foul,3,1,0
3020,3000,Yellow card,3,2,0
3030,3000,Red card,3,3,0
3040,3000,Offside,3,4,0
3050,3000,Foul suffered,3,5,0
3060,3000,Yellow card - suffered,3,6,0
3070,3000,Red card - suffered,3,7,0
3080,3000,YC annulled,3,8,0
3090,3000,YC suffered annulled,3,9,0
3100,3000,RC for two YC,3,10,0
3110,3000,2 min penalization for a rough foul,3,11,0
3120,3000,Wasting time,3,12,0
4000,0,Shot,4,0,0
4010,4000,Shot on target,4,1,0
4020,4000,Wide shot,4,2,0
4030,4000,Shot into the bar/post,4,3,0
4040,4000,Shot blocked,4,4,0
4050,4000,Shot blocked by field player,4,5,0
5000,0,Set piece,5,0,0
5010,5000,Open play,5,1,0
5020,5000,Throw-in,5,2,0
5030,5000,Indirect free kick,5,3,0
5040,5000,Free-kick,5,4,0
5050,5000,Penalty,5,5,0
5060,5000,Corner,5,6,0
6000,0,Interception,6,0,0
6010,6000,Shots blocked,6,1,0
6012,6000,Shot interception (unsuccessful),6,1,2
6020,6000,Pass interceptions,6,2,0
6022,6000,Pass interception (unsuccessful),6,2,2
6030,6000,Cross interception,6,3,0
6032,6000,Cross interception (unsuccessful),6,3,2
