id,name
-99,1958
-98,1958-1959
-97,1959
-96,1959-1960
-95,1960
-94,1960-1961
-93,1961
-92,1961-1962
-91,1962
-90,1962-1963
-89,1963
-88,1963-1964
-87,1964
-86,1964-1965
-85,1965
-84,1965-1966
-83,1966
-82,1966-1967
-81,1967
-80,1967-1968
-79,1968
-78,1968-1969
-77,1969
-76,1969-1970
-75,1970
-74,1970-1971
-73,1971
-72,1971-1972
-71,1972
-70,1972-1973
-69,1973
-68,1973-1974
-67,1974
-66,1974-1975
-65,1975
-64,1975-1976
-63,1976
-62,1976-1977
-61,1977
-60,1977-1978
-59,1978
-58,1978-1979
-57,1979
-56,1979-1980
-55,1980
-54,1980-1981
-53,1981
-52,1981-1982
-51,1982
-50,1982-1983
-49,1983
-48,1983-1984
-47,1984
-46,1984-1985
-45,1985
-44,1985-1986
-43,1986
-42,1986-1987
-41,1987
-40,1987-1988
-39,1988
-38,1988-1989
-37,1989
-36,1989-1990
-35,1990
-34,1990-1991
-33,1991
-32,1991-1992
-31,1992
-30,1992-1993
-29,1993
-28,1993-1994
-27,1994
-26,1994-1995
-25,1995
-24,1995-1996
-23,1996
-22,1996-1997
-21,1997
-20,1997-1998
-19,1998
-18,1998-1999
-17,1999
-16,1999-2000
-15,2000
-14,2000-2001
-13,2001
-12,2001-2002
-11,2002
-10,2002-2003
-9,2003
-8,2003-2004
-7,2004
-6,2004-2005
-5,2005
-4,2005-2006
-3,2006
-2,2006-2007
-1,2007
0,2007-2008
1,2008
2,2008-2009
3,2009
4,2009-2010
5,2010
6,2010-2011
7,2011
8,2011-2012
9,2012
10,2012-2013
11,2013
12,2013-2014
13,2014
14,2014-2015
15,2015
16,2015-2016
17,2016
18,2016-2017
19,2017
20,2017-2018
21,2018
22,2018-2019
23,2019
24,2019-2020
25,2020
26,2020-2021
27,2021
28,2021-2022
29,2022
30,2022-2023
31,2023
32,2023-2024
33,2024
34,2024-2025
35,2025
36,2025-2026
37,2026
38,2026-2027
39,2027
40,2027-2028
41,2028
42,2028-2029
43,2029
44,2029-2030
45,2030
